epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0665,0,40.4747,0,0,0,0,0,0,65.8174,0,0.00010002,0.00010002,0.00010002
2,62.1062,0,39.0681,0,0,0,0,0,0,65.6623,0,0.000214565,0.000214565,0.000214565
3,87.0062,0,36.7761,0,0,0,0,0,0,65.621,0,0.000326799,0.000326799,0.000326799
4,111.192,0,34.5703,0,0,0,0,0,0,65.2832,0,0.000436722,0.000436722,0.000436722
5,135.558,0,32.6817,0,0,0,0,0,0,63.2914,0,0.000544336,0.000544336,0.000544336
6,159.978,0,30.7618,0,0,0,0,0,0,61.6405,0,0.000649638,0.000649638,0.000649638
7,184.558,0,29.0182,0,0,0,0,0,0,57.3139,0,0.00075263,0.00075263,0.00075263
8,209.207,0,27.6137,0,0,0,0,0,0,53.9593,0,0.000853312,0.000853312,0.000853312
9,234.52,0,27.0616,0,0,0,0,0,0,69.8138,0,0.000951684,0.000951684,0.000951684
10,260.359,0,26.1657,0,0,0,0,0,0,47.1089,0,0.00104774,0.00104774,0.00104774
11,286.174,0,25.2221,0,0,0,0,0,0,50.2543,0,0.00114149,0.00114149,0.00114149
12,312.479,0,24.3249,0,0,0,0,0,0,18.6635,0,0.00123293,0.00123293,0.00123293
13,338.061,0,23.3419,0,0,0,0,0,0,21.2667,0,0.00132206,0.00132206,0.00132206
14,364.711,0,22.5852,0,0,0,0,0,0,35.8856,0,0.00140888,0.00140888,0.00140888
15,390.398,0,21.7521,0,0,0,0,0,0,36.5404,0,0.00143595,0.00143595,0.00143595
16,416.463,0,20.8734,0,0,0,0,0,0,20.2968,0,0.00141945,0.00141945,0.00141945
17,441.848,0,20.0625,0,0,0,0,0,0,136.683,0,0.00140295,0.00140295,0.00140295
18,467.309,0,19.3744,0,0,0,0,0,0,688.769,0,0.00138644,0.00138644,0.00138644
19,493.697,0,18.6549,0,0,0,0,0,0,5385.71,0,0.00136994,0.00136994,0.00136994
20,518.993,0,17.9067,0,0,0,0,0,0,41.6633,0,0.00135344,0.00135344,0.00135344
21,544.731,0,17.1175,0,0,0,0,0,0,2103.26,0,0.00133693,0.00133693,0.00133693
22,570.792,0,16.4583,0,0,0,0,0,0,10.7332,0,0.00132043,0.00132043,0.00132043
